"Multidimensional poverty index (MPI)"
"Dimension: Poverty"
"Definition: Percentage of the population that is multidimensionally poor adjusted by the intensity of the deprivations. See Technical note 5 at http:// hdr.undp.org/sites/default/files/hdr2021_technical_ notes.pdf for details on how the Multidimensional Poverty Index is calculated."
"Source: HDRO and OPHI calculations based on data on household deprivations in health, education, and standard of living from various surveys listed in column 1 using the methodology described in Technical note 5 (http://hdr.undp.org/sites/default/files/mpi2021_technical_notes.pdf)."
""
"HDI Rank","Country","2009","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2019","","2020","","2009-2020",""
"122"," Guyana","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.007","","0.007","a"
"170"," Haiti","..","","..","","..","","..","","..","","..","","..","","..","","0.200","","..","","..","","..","","0.200","a"
"132"," Honduras","..","","..","","..","","0.093","","..","","..","","..","","..","","..","","..","","..","","..","","0.093","a,j"
"131"," India","..","","..","","..","","..","","..","","..","","..","","0.123","","..","","..","","..","","..","","0.123","a"
"107"," Indonesia","..","","..","","..","","..","","..","","..","","..","","..","","0.014","","..","","..","","..","","0.014","a,b"
"123"," Iraq","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.033","","..","","..","","0.033","a"
"101"," Jamaica","..","","..","","..","","..","","..","","0.018","","..","","..","","..","","..","","..","","..","","0.018","a,c"
"102"," Jordan","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.002","","..","","..","","0.002","a"
"51"," Kazakhstan","..","","..","","..","","..","","..","","..","","0.002","","..","","..","","..","","..","","..","","0.002","a,d"
"143"," Kenya","..","","..","","..","","..","","..","","0.171","","..","","..","","..","","..","","..","","..","","0.171","a"
"134"," Kiribati","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.080","","..","","0.080","a"
"120"," Kyrgyzstan","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.001","","..","","..","","0.001","a"
"137"," Lao People's Democratic Republic","..","","..","","..","","..","","..","","..","","..","","..","","0.108","","..","","..","","..","","0.108","a"
"165"," Lesotho","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.084","","..","","..","","0.084","a,i"
"175"," Liberia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.259","","0.259","a"
"105"," Libya","..","","..","","..","","..","","..","","0.007","","..","","..","","..","","..","","..","","..","","0.007","a"
"164"," Madagascar","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.384","","..","","..","","0.384","a"
"174"," Malawi","..","","..","","..","","..","","..","","..","","..","","0.252","","..","","..","","..","","..","","0.252","a"
"95"," Maldives","..","","..","","..","","..","","..","","..","","..","","..","","0.003","","..","","..","","..","","0.003","a"
"184"," Mali","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.376","","..","","..","","0.376","a"
"157"," Mauritania","..","","..","","..","","..","","..","","..","","0.261","","..","","..","","..","","..","","..","","0.261","a"
"74"," Mexico","..","","..","","..","","..","","..","","..","","..","","0.026","","..","","..","","..","","..","","0.026","a,c"
"90"," Moldova (Republic of)","..","","..","","..","","0.004","","..","","..","","..","","..","","..","","..","","..","","..","","0.004","a"
"99"," Mongolia","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.028","","..","","..","","0.028","a,k"
